,Return
298,1.0031746178979482
299,1.005200689180661
300,1.0065134780135088
301,1.0085147159648127
302,1.0078124100165082
303,1.0092820567637244
304,1.009122454916974
305,1.0090399279033677
306,1.010506703149362
307,1.0109473642706925
308,1.0113276497779728
309,1.0099334473178891
310,1.008259400940511
311,1.0070518425596442
312,1.007051711435829
313,1.0050876155630348
314,1.0059334143693255
315,1.0066003616992183
316,1.0072917338884524
317,1.009568573167778
318,1.0111085236452406
319,1.012331207989426
320,1.0137017396472556
321,1.01294421033941
322,1.0122978229722694
323,1.0143618205708125
324,1.0152469490706673
325,1.013321852590677
326,1.0164925826526512
327,1.0147494101019228
328,1.0159508775940715
329,1.0158255872420183
330,1.0112735824064254
331,1.0134658467231223
332,1.0116909982932525
333,1.0127789090961141
334,1.0109507823388864
335,1.0109839872163475
336,1.01272462901277
337,1.012044930170467
338,1.012926332225458
339,1.0146110079761894
340,1.018185408583394
341,1.0208494383109001
342,1.0183508868168951
343,1.0182045859120805
344,1.0145714685228664
345,1.0149645881933116
346,1.0157115241104266
347,1.0163414361503258
348,1.0176267485552906
349,1.0157626305427885
350,1.0154884985725234
351,1.0155259202240752
352,1.0153082442515267
353,1.0156128194407534
354,1.015619370916652
355,1.0149061972930304
356,1.0126890169396296
357,1.013103326495956
358,1.014324917855518
359,1.014478278791624
360,1.012245287162059
361,1.0142065668419937
362,1.0172339047265355
363,1.017208374226959
364,1.0163940444589843
365,1.0172527713586144
366,1.0192589011183222
367,1.0189432817993396
368,1.0182923409637916
369,1.0182229225308952
370,1.0176923058022522
371,1.0201197621241804
372,1.0212778238165119
373,1.0212877360763486
374,1.0212048110563092
375,1.0236621467923317
376,1.024175037602833
377,1.0260339169548762
378,1.0237256414225653
380,1.0226693632205826
381,1.0222414106232767
382,1.0262649267011117
383,1.0271029908530604
384,1.0275957759472087
385,1.0263180508688958
386,1.026706048505478
387,1.0281130644755252
388,1.0281973132180187
389,1.0291142725104818
390,1.0296171670288046
391,1.0288659234393716
392,1.0263811999586174
393,1.0286175660116257
394,1.0266452403894533
395,1.0272245200103374
396,1.0288770970893661
397,1.0282081891059314
398,1.024637604164859
399,1.0249403042032181
400,1.0245386002643277
401,1.0270328168703533
402,1.0263569172195177
403,1.0274579572597324
404,1.0269588640155272
405,1.0312340441898185
406,1.0329585189306554
407,1.0341112638923213
408,1.0333777379339983
409,1.0327965346145636
410,1.0352167943012152
411,1.0305621762294364
412,1.0348094632632685
413,1.0333449293422636
414,1.0334848818488136
415,1.032327720404878
416,1.038355190629205
417,1.037022813760015
418,1.0422455251221672
419,1.041814616355901
420,1.040017600857117
421,1.0425033423416663
422,1.0448240984796062
423,1.0523434330741812
424,1.053034086384105
425,1.0503586176326793
426,1.0464888840238558
427,1.0438217720192646
428,1.047168096807194
429,1.0449440337068985
430,1.0467871693027448
431,1.0416941245379487
432,1.0409236163997226
433,1.0425337491301696
434,1.040278235800533
435,1.039447928168551
436,1.0387297624590166
437,1.039871948410802
438,1.0362821312506112
439,1.0380550682666176
440,1.03903479386259
441,1.039927821518165
442,1.0388602441460175
443,1.0360783665106028
444,1.03477999073764
445,1.0323151126633847
446,1.0323383892795677
447,1.0341188168001116
448,1.0320244475117386
449,1.0322294622119734
450,1.0288459206519651
451,1.0296768786179245
452,1.0280273931013295
453,1.0317575189425696
454,1.0256968143314038
455,1.0264872367402071
456,1.0245278121649357
457,1.0255173736249112
458,1.0245240000247409
459,1.0244004642190638
460,1.0248389596699465
461,1.0266651317173785
462,1.0245977443890995
463,1.0270308611687538
464,1.0265346102832493
465,1.026402676418735
466,1.0264574408693465
467,1.025512265248613
468,1.0269044651354922
469,1.021660738078317
470,1.018998868063554
471,1.020349334943109
472,1.0193182270523327
473,1.0237490666674856
474,1.023510263138388
475,1.023111605000751
476,1.025129045839658
477,1.0230495380084665
478,1.0219742282790647
479,1.0221997954601074
480,1.0247306877652365
481,1.0249779515661275
482,1.0253736042141848
483,1.02520165676078
484,1.024597452364771
485,1.0263511823068894
486,1.024997805536398
487,1.0256402515867031
488,1.0261823185774996
489,1.0265401017642144
490,1.0255437065783168
491,1.025698076180605
492,1.0264859362406717
493,1.026544742645797
494,1.0246588730592738
495,1.025314976782662
496,1.0226517779137079
497,1.0238637070524457
498,1.0238424541248883
499,1.0231134245608529
500,1.022042669711165
501,1.0195906945559023
503,1.0180357427989741
504,1.0171539895840318
505,1.0191662027618384
506,1.0197175796634632
507,1.020536467425303
508,1.0164739840745416
509,1.0158682407808983
510,1.0169262837881026
511,1.0166877596489774
512,1.0166120341549458
513,1.013367530066021
514,1.0155910434628148
515,1.0175755750681277
516,1.0165725838167559
517,1.014928211561958
518,1.0160146962913226
519,1.0144292830070698
520,1.017924973725325
521,1.0172688930743596
522,1.0157343461285944
523,1.0153286095046918
524,1.0149348252370196
525,1.0147022777510224
526,1.0154437024296192
527,1.017844638978056
528,1.014698169848722
529,1.0120361581433768
530,1.0144290391485136
531,1.0181956579478906
532,1.0149143390961584
533,1.0163142851493705
534,1.0123526956954587
535,1.009181385127251
536,1.0089138577846473
537,1.0089522141003717
538,1.0121629551369815
539,1.013362218740469
540,1.0123939020196933
541,1.010590440368683
542,1.0115801984111084
543,1.010491469167363
544,1.0120724556292058
545,1.0121534047540495
546,1.0105390126031313
547,1.0122545633452948
548,1.0123477106104044
549,1.0095495073423884
550,1.0057652922491827
551,1.0068265707859794
552,1.00911957824225
553,1.0068795349409383
554,1.0061791580369726
555,1.0045526174201032
556,1.008197263001305
557,1.00887612142665
558,1.0076894049419085
