,Semester,Days,S1,S2,Pair,Return,Converged,Count day,date,is_bear_market
335,4,127,CEG,DTE,CEG-DTE,0.8695379359676597,False,629,1993-12-03,0
336,4,34,CEG,DUK,CEG-DUK,1.0314376196336024,True,541,1993-07-28,0
337,4,83,CEG,DUK,CEG-DUK,0.9650597996524564,False,629,1993-12-03,0
338,4,127,45200Q,DTE,45200Q-DTE,0.9355724698024472,False,629,1993-12-03,0
339,4,18,AEP,DUK,AEP-DUK,1.018451972712106,True,574,1993-09-14,0
340,4,5,AEP,DUK,AEP-DUK,1.0321912659688284,True,588,1993-10-04,0
341,4,37,AEP,DUK,AEP-DUK,0.9986975173576504,False,629,1993-12-03,0
342,4,6,NEE,DTE,NEE-DTE,1.0206603243813812,True,539,1993-07-26,0
343,4,84,NEE,DTE,NEE-DTE,0.8712825447704553,False,629,1993-12-03,0
344,4,17,XEL,210967Q,XEL-210967Q,1.0175505371666018,True,521,1993-06-29,0
345,4,19,XEL,210967Q,XEL-210967Q,1.022199899411237,True,567,1993-09-02,0
346,4,3,XEL,210967Q,XEL-210967Q,1.030617238661281,True,576,1993-09-16,0
347,4,14,XEL,210967Q,XEL-210967Q,1.02571049183984,True,601,1993-10-22,0
348,4,9,XEL,210967Q,XEL-210967Q,1.0297978844620743,True,611,1993-11-05,0
349,4,8,XEL,210967Q,XEL-210967Q,1.001644871807063,False,629,1993-12-03,0
350,4,127,XEL,DUK,XEL-DUK,0.8976660114006741,False,629,1993-12-03,0
351,4,127,EIX,UEP,EIX-UEP,0.8780483644673109,False,629,1993-12-03,0
352,4,11,DTE,UEP,DTE-UEP,1.0246159335930285,True,512,1993-06-16,0
353,4,113,DTE,UEP,DTE-UEP,0.9065344665966254,False,629,1993-12-03,0
354,4,123,45200Q,D,45200Q-D,0.9010088217990208,False,629,1993-12-03,0
355,4,17,EIX,XOM,EIX-XOM,1.023090817954469,True,518,1993-06-24,0
356,4,43,EIX,XOM,EIX-XOM,1.018076851439629,True,562,1993-08-26,0
357,4,60,EIX,XOM,EIX-XOM,0.9284063073061092,False,629,1993-12-03,0
358,4,8,BLS,210967Q,BLS-210967Q,1.0191653331254231,True,526,1993-07-07,0
359,4,89,BLS,210967Q,BLS-210967Q,0.8984200843753781,False,629,1993-12-03,0
360,4,122,45200Q,DUK,45200Q-DUK,0.8900173240187057,False,629,1993-12-03,0
361,5,2,JCI,1436513D,JCI-1436513D,1.0000389360532294,True,633,1993-12-09,0
362,5,2,JCI,1436513D,JCI-1436513D,1.0000366658647193,True,637,1993-12-15,0
363,5,4,JCI,1436513D,JCI-1436513D,1.0000297561051106,True,642,1993-12-22,0
364,5,3,JCI,1436513D,JCI-1436513D,1.0000229541626338,True,648,1994-01-03,0
365,5,2,JCI,1436513D,JCI-1436513D,1.000038912474005,True,660,1994-01-20,0
366,5,2,JCI,1436513D,JCI-1436513D,1.0000242472633625,True,664,1994-01-26,0
367,5,4,JCI,1436513D,JCI-1436513D,1.000036524533496,True,688,1994-03-02,0
368,5,2,JCI,1436513D,JCI-1436513D,1.0000397992577523,True,692,1994-03-08,0
369,5,2,JCI,1436513D,JCI-1436513D,1.0000270881579962,True,696,1994-03-14,0
370,5,3,JCI,1436513D,JCI-1436513D,1.0000372627764045,True,709,1994-03-31,0
371,5,2,JCI,1436513D,JCI-1436513D,1.000023183141697,True,713,1994-04-06,0
372,5,4,JCI,1436513D,JCI-1436513D,1.0000331013198966,True,745,1994-05-20,0
373,5,3,JCI,1436513D,JCI-1436513D,1.000015746067662,False,753,1994-06-02,0
374,5,120,1005945D,XEL,1005945D-XEL,0.8683727699267114,False,753,1994-06-02,0
375,5,99,45200Q,PEG,45200Q-PEG,0.8898451501589407,False,753,1994-06-02,0
376,5,5,NEE,PCG,NEE-PCG,1.026704863603175,True,636,1993-12-14,0
377,5,78,NEE,PCG,NEE-PCG,0.9091457189550264,False,753,1994-06-02,0
378,5,122,PEG,TXU,PEG-TXU,0.9189595749185312,False,753,1994-06-02,0
379,5,3,DUK,SO,DUK-SO,1.0206585231297374,True,638,1993-12-16,0
380,5,19,DUK,SO,DUK-SO,1.0265156644923583,True,679,1994-02-16,0
381,5,24,DUK,SO,DUK-SO,1.0324194709871508,True,719,1994-04-14,0
382,5,3,DUK,SO,DUK-SO,1.0392981973872892,True,723,1994-04-20,0
383,5,12,AEP,SO,AEP-SO,1.0373525155217511,True,646,1993-12-29,0
384,5,6,AEP,SO,AEP-SO,1.0197992725984957,True,657,1994-01-14,0
385,5,94,AEP,SO,AEP-SO,0.9331555410166532,False,753,1994-06-02,0
386,5,2,AEP,D,AEP-D,1.0191365161954888,True,651,1994-01-06,0
387,5,76,AEP,D,AEP-D,0.9828965413457156,False,753,1994-06-02,0
388,5,30,45200Q,ED,45200Q-ED,1.041889413689317,True,658,1994-01-18,0
389,5,79,45200Q,ED,45200Q-ED,0.917324698144784,False,753,1994-06-02,0
390,5,33,D,DUK,D-DUK,1.011071662394259,True,662,1994-01-24,0
391,5,46,D,DUK,D-DUK,1.022809438863694,True,733,1994-05-04,0
392,5,7,D,DUK,D-DUK,0.9769883930028812,False,753,1994-06-02,0
393,5,28,CEG,PEG,CEG-PEG,1.0489819612772135,True,656,1994-01-13,0
394,5,6,CEG,PEG,CEG-PEG,1.0363663615544771,True,664,1994-01-26,0
395,5,6,CEG,PEG,CEG-PEG,1.0301529319771263,True,680,1994-02-17,0
396,5,71,CEG,PEG,CEG-PEG,0.9674467435106484,False,753,1994-06-02,0
397,5,33,AEP,DUK,AEP-DUK,1.016576355599557,True,662,1994-01-24,0
398,5,8,AEP,DUK,AEP-DUK,1.0201348206881298,True,675,1994-02-10,0
399,5,18,AEP,DUK,AEP-DUK,1.039096911809749,True,696,1994-03-14,0
400,5,40,AEP,DUK,AEP-DUK,0.930852893493536,False,753,1994-06-02,0
401,5,31,1005945D,DTE,1005945D-DTE,1.0739097681994707,True,659,1994-01-19,0
402,5,2,1005945D,DTE,1005945D-DTE,1.031536424740308,True,671,1994-02-04,0
403,5,4,1005945D,DTE,1005945D-DTE,1.0428782984697096,True,720,1994-04-15,0
