,Semester,Days,S1,S2,Pair,Return,Converged,Count day
114,2,17,USW,BLS,USW-BLS,1.0255495648034219,True,297
115,2,8,USW,BLS,USW-BLS,1.0150809698113379,True,307
116,2,8,USW,BLS,USW-BLS,1.015020732443394,True,317
117,2,5,USW,BLS,USW-BLS,1.031525863608941,True,326
118,2,13,USW,BLS,USW-BLS,1.0179729058363483,True,341
119,2,11,USW,BLS,USW-BLS,1.026739726456546,True,366
120,2,3,USW,BLS,USW-BLS,1.0236107235600813,True,377
121,2,7,BLS,693365Q,BLS-693365Q,0.95,False,258
122,2,3,BLS,693365Q,BLS-693365Q,1.0230261584550642,True,353
123,2,50,USW,693365Q,USW-693365Q,1.047335351471336,True,301
124,2,2,USW,693365Q,USW-693365Q,1.0323538063919648,True,306
125,2,22,USW,693365Q,USW-693365Q,1.0443635470103994,True,347
126,2,15,USW,693365Q,USW-693365Q,1.028045179203717,True,364
127,2,5,BLS,3054Q,BLS-3054Q,1.0320829351021998,True,256
128,2,19,BLS,3054Q,BLS-3054Q,1.0506180945271828,True,283
129,2,5,BLS,3054Q,BLS-3054Q,1.0131135386491452,True,299
130,2,20,BLS,3054Q,BLS-3054Q,1.031037182454719,True,321
131,2,4,BLS,3054Q,BLS-3054Q,1.0202890400505635,True,329
132,2,14,BLS,3054Q,BLS-3054Q,0.95,False,353
133,2,51,NEE,TXU,NEE-TXU,1.009941026149142,True,334
134,2,41,NEE,TXU,NEE-TXU,0.9805606886558387,False,379
135,2,13,45200Q,DUK,45200Q-DUK,1.0370578344116894,True,264
136,2,7,45200Q,DUK,45200Q-DUK,1.021376899446145,True,277
137,2,5,45200Q,DUK,45200Q-DUK,1.017917157871535,True,362
138,2,3,45200Q,DUK,45200Q-DUK,1.0350735725476612,True,373
139,2,79,XEL,ETR,XEL-ETR,0.95,False,330
140,3,23,JCI,1436513D,JCI-1436513D,1.0000264531221588,True,401
141,3,8,JCI,1436513D,JCI-1436513D,1.000037608122989,True,410
142,3,12,JCI,1436513D,JCI-1436513D,1.0000212590116202,True,423
143,3,3,JCI,1436513D,JCI-1436513D,1.0000528801745152,True,426
144,3,2,JCI,1436513D,JCI-1436513D,1.0000263766634563,True,430
145,3,33,JCI,1436513D,JCI-1436513D,1.000026372101807,True,463
146,3,2,JCI,1436513D,JCI-1436513D,1.0000448925235228,True,472
147,3,9,JCI,1436513D,JCI-1436513D,1.0000487664153366,True,481
148,3,3,JCI,1436513D,JCI-1436513D,1.0000496889407868,True,484
149,3,3,JCI,1436513D,JCI-1436513D,1.0000289431281861,True,488
150,3,10,JCI,1436513D,JCI-1436513D,1.0000215884116201,True,498
151,3,2,JCI,1436513D,JCI-1436513D,1.0000222044617333,True,500
152,3,1,JCI,1436513D,JCI-1436513D,1.0000222044617333,False,502
153,3,9,XEL,TXU,XEL-TXU,1.0202024594145083,True,387
154,3,29,XEL,TXU,XEL-TXU,1.027328807423356,True,424
155,3,32,XEL,TXU,XEL-TXU,0.95,False,470
156,3,4,XEL,NEE,XEL-NEE,1.0210884904627482,True,421
157,3,42,XEL,NEE,XEL-NEE,1.0138398607071508,True,466
158,3,4,XEL,NEE,XEL-NEE,1.0189711359563618,True,473
159,3,4,XEL,NEE,XEL-NEE,1.0141269496459848,True,480
160,3,2,D,DUK,D-DUK,1.0172405966571945,True,382
161,3,21,D,DUK,D-DUK,1.0139618703632276,True,409
162,3,8,D,DUK,D-DUK,1.0167197278693105,True,419
163,3,30,D,DUK,D-DUK,1.0135447167706535,True,449
164,3,30,D,DUK,D-DUK,1.0145661021567096,True,480
165,3,3,D,DUK,D-DUK,1.022389621112843,True,487
166,3,7,D,DUK,D-DUK,0.9894608020569944,False,502
167,3,47,CEG,NEE,CEG-NEE,0.95,False,434
168,3,7,USW,BLS,USW-BLS,1.0257992640619353,True,396
169,3,11,USW,BLS,USW-BLS,1.0302192339262441,True,418
170,3,2,USW,BLS,USW-BLS,1.0165647167461118,True,423
171,3,30,USW,BLS,USW-BLS,0.95,False,454
172,3,5,USW,571300Q,USW-571300Q,1.0214085737702712,True,402
173,3,3,USW,571300Q,USW-571300Q,1.022865243130441,True,410
