,Semester,Sharpe,Sortino,Kappa_3,Omega,VaR_95,CVaR_95,Max_Drawdown,Calmar,Sterling,Burke
10,10.0,-0.06227916353817762,-0.059757653147049034,-0.06815628652804256,1.0580948296064696,-0.0039890414109014,-0.004952265276215743,-0.9429442148296604,5.793646942516363e-05,9.495523618922423e-05,7.521540118692908e-07
11,11.0,-0.045785548208563266,-0.04609977920818529,-0.05184598846389072,1.0545540734926744,-0.0045646581826857,-0.005476765633462314,-0.9233205424317135,6.665379084050682e-05,0.00010365555285677208,8.697948171215874e-07
12,12.0,0.18442308769253596,0.19574706489878066,0.22711212651929247,2.0093421907429163,-0.0037249660563859,-0.0044656221689803426,-0.8167968978487496,0.0007848707927222631,0.0017398933590046866,1.6932812519456458e-05
13,13.0,-0.0649843854603221,-0.06086958677707768,-0.0693209556295084,1.0403402146779226,-0.0043010509998442,-0.004926569855102886,-0.9769924476495622,3.9458235191796506e-05,5.051935527090654e-05,4.2295524947716695e-07
14,14.0,-0.11281301595419622,-0.10784648550132044,-0.10902904921552915,0.8293170095452297,-0.0072481155260324,-0.010429611064353184,-0.9997922230245209,-0.00031680771585820524,-0.00036897296399048034,-2.876990027615023e-06
15,15.0,0.06127942991962285,0.0674733625688334,0.07545794285834383,1.3401866138621308,-0.005985279913608,-0.007216098719639471,-0.9648796009359089,0.00045380506201876463,0.0007925176427594887,6.900942522975961e-06
16,16.0,-0.18711472682482572,-0.1712177518072942,-0.17418293261884402,0.7026510790510696,-0.0061693388066766,-0.0077215059767208995,-0.999940125724829,-0.00040014882668255126,-0.0004575718862878231,-3.7269360003431364e-06
17,17.0,0.0763490450194687,0.07447142027575918,0.078391718695377,1.3715382497766389,-0.0060194232295293,-0.0081009270252103,-0.9787444622281344,0.0004802453637299304,0.0008613563324673677,7.64972307780735e-06
18,18.0,-0.23135632473707293,-0.19816422653831597,-0.18146476628357827,0.5575832836191312,-0.0101646636460436,-0.016231914146006957,-0.9999999998404399,-0.001215917399903895,-0.0012969430224662255,-1.07762055752244e-05
19,19.0,0.06268752770877584,0.06776684960832431,0.07441100720854663,1.3770829072432063,-0.0054682047083018,-0.007860614369168557,-0.9823273603411206,0.0004812540202737084,0.0007755849690505261,6.787435724565192e-06
20,20.0,-0.021895793753969075,-0.021497853758681833,-0.024971262907798667,1.1118569785104242,-0.0054144759641407,-0.0066160621300759715,-0.9792016736234752,0.0001571179784840856,0.00022845577289466637,1.8880691126036852e-06
21,21.0,-0.04133150309062657,-0.046371441965432456,-0.04920604701879273,1.0718747337974983,-0.0042428158352195,-0.004868146365309672,-0.9202491987516034,7.774956993579455e-05,0.00011704991178572355,9.622939341540095e-07
22,22.0,0.019874360802485454,0.019351900161352284,0.01789924715838113,1.1694888784947808,-0.0039027889384952,-0.007335838412670315,-0.9544251220959532,0.00018323727238459718,0.00028975966126774954,2.3691127758120346e-06
23,23.0,0.07060922956715693,0.07587151427414447,0.08027268158310001,1.3049664066002429,-0.0030289075056695,-0.003978009413400529,-0.8944722649080279,0.00023757415950964827,0.0004407115161464946,3.694444407633414e-06
24,24.0,0.03735720158128975,0.04482259533921218,0.04800447630858051,1.2075147495207008,-0.0030752777918948,-0.004052200189322472,-0.9823311623040913,0.00015192256588346032,0.0002450260724286206,1.929136411752296e-06
25,25.0,0.039390295355425264,0.038347668449026304,0.040596005877183663,1.163901759448175,-0.0035916142229714,-0.004879667083275972,-0.9396341552716465,0.00014185705402051946,0.00020945927047321097,1.8382242281458557e-06
26,26.0,-0.009267669504445955,-0.01052245771600042,-0.011420356237734835,1.0189765073958645,-0.0030371818298935,-0.003714349053364015,-0.9375208352228951,1.7366770438940485e-05,2.5818031836513805e-05,2.0371191963966829e-07
27,27.0,-0.14217696702541965,-0.13930702063870962,-0.12331453384898368,0.6913328211353186,-0.0050902852045775,-0.00740028934484677,-0.9999584481505,-0.00044624939406065224,-0.0004700966175638582,-3.81929738464845e-06
28,28.0,-0.011540609254758331,-0.012140988352350472,-0.012764909994641815,1.0454087322128158,-0.0032071498667131,-0.004344368282378686,-0.9658158168296034,3.737165144305864e-05,5.839249673281851e-05,4.542547485741311e-07
