,Semestre,Sharpe Ratio,Sortino Ratio,Kappa 3,Omega Ratio,VaR (95%),CVaR (95%),Maximum Drawdown,Calmar Ratio,Sterling Ratio,Burke Ratio
17,31,-0.05052199744838798,-0.03661731154971902,-0.01857188219725283,0.7742356270515672,-0.00344494874531094,-0.0075074509276731195,-0.051571020574022526,-0.7490907485451797,,-0.07872734367496674
18,32,0.0774929583407806,0.10168433003485983,0.059534498502670834,1.312722335373054,-0.004917359315872724,-0.007437424085815689,-0.033729192344002665,1.9513443637484384,,0.3946357425134907
19,33,0.04872326219384602,0.054436970856397725,0.02966971930333628,1.2144018668389476,-0.003709207736521919,-0.0062028820972847756,-0.017189292572331188,2.0430555139404434,,0.3791725371644625
20,34,0.04373776873793738,0.0870541631499218,0.04842216169571314,1.2383873832851318,-0.006088533876483382,-0.010680140456367938,-0.06652504492419758,1.188955000783433,,0.20518078424556385
21,35,-0.03647932212662627,-0.04226537924540267,-0.024001408602431724,0.8770350845105047,-0.005551682488812937,-0.008598076844979707,-0.05083435957704554,-0.6254348027932761,,-0.09507912603567012
22,36,0.08625091617506052,0.12076494897538077,0.06876668225213373,1.3484887630607627,-0.0029158378578757124,-0.004201251844128858,-0.029940239727335245,1.46081067368932,,0.21046648970679396
23,37,0.032151925567522985,0.03798117765823449,0.02078988560169292,1.1340536469198024,-0.003368802971175829,-0.005452254386275869,-0.03355200443198639,0.5757874241493129,,0.09155527442612127
24,38,-0.017861242311732865,-0.015707109820967582,-0.008240014015891148,0.9290528278587423,-0.002261115171841084,-0.004716066297914529,-0.025184310241439106,-0.34396149249184116,,-0.06967199073901141
25,39,-0.11374799748756545,-0.10065595342483986,-0.05641386945364021,0.6326158865822858,-0.0022335377506930544,-0.005250185558765581,-0.047267226647951445,-1.0690084075028363,,-0.1671141808407738
26,40,0.08892267365996802,0.10698045921769754,0.059335045610992745,1.4175324633838744,-0.0024786551455751654,-0.004149891575434104,-0.013769464425331416,3.3269666551573938,,0.5626777799957765
27,41,-0.15455698145151664,-0.14234282061062659,-0.07410918972210333,0.5291245745107898,-0.002116695178310266,-0.003720888896726325,-0.04098236580841441,-1.3296107440562097,,-0.23113024226977824
28,42,0.012142974972106393,0.017542702018513205,0.00974859474279816,1.044330244312526,-0.0026362717400103385,-0.0035424440921403315,-0.024997463823126887,0.20493134853543055,,0.02752608328426424
29,43,0.0001285015602835946,0.00012186133072138832,6.975622837519132e-05,1.000491877903772,-0.0023662257695172577,-0.004361333880365437,-0.021576340178518467,0.0023725239368863438,,0.000378420682237225
30,44,0.00030089002091362836,0.0003488890593888642,0.00019876467147627563,1.0010333093438382,-0.0029825962449472653,-0.004044451888156993,-0.01944774026674083,0.006342703742846608,,0.0011299940592994146
31,45,0.004999448140360785,0.005734057499841455,0.0032245705928458496,1.0172246715868154,-0.0024013742847276503,-0.004579167687891056,-0.022606232772583352,0.10047964815840586,,0.015030236418954738
32,46,-0.09727103469842975,-0.09133580858363664,-0.052474013949388235,0.6891705818891947,-0.0026912472469544494,-0.0044509842047377735,-0.036809240139531914,-1.0039505628536003,,-0.1333651434990859
