,Return
452,0.8387922039452819
453,0.8381663827595027
454,0.8377086617742104
455,0.8369161072847232
456,0.8364590690723672
457,0.8355004050062216
458,0.8352112399870497
459,0.8340869638073256
460,0.8337982879773258
461,0.8328426734270716
462,0.8323878597087984
463,0.8312673840756201
464,0.8309830906302662
465,0.8297017147045143
466,0.8294179567180854
467,0.8284707614115133
468,0.8281874244111106
469,0.8274072718573153
470,0.8269588171159686
471,0.8263452136736685
472,0.825566796482388
473,0.8247891125601016
474,0.8241771190385819
475,0.8235655796162553
476,0.82295449395618
477,0.8226730435192471
478,0.8220626201209558
479,0.8212882371328019
480,0.8208430989082759
481,0.819741527469541
482,0.8192972275616525
483,0.8183615901277771
484,0.8177535474663121
485,0.8168188551615582
486,0.8162119587521731
487,0.8149525436998185
488,0.8143470339598495
489,0.8134162353000334
490,0.8126491837901454
491,0.8117203257730733
492,0.8111172175710238
493,0.8098656637043118
494,0.8092639335161794
495,0.8081770920534672
496,0.8075766164740714
497,0.806330525754852
498,0.8057314221742161
499,0.8046493248742361
500,0.8042124002908294
501,0.8031323430372388
502,0.8026962421749696
503,0.8014576818732937
504,0.8010224903520365
634,0.7998073392341725
635,0.7995538003076352
636,0.798180966432507
637,0.7979279430661479
638,0.7967174863765165
639,0.7963055834360598
640,0.7950975878659874
641,0.7946865224130607
642,0.7934809829585601
643,0.7930707532903705
644,0.791867664957629
645,0.7914582693748459
646,0.7900993355263293
647,0.7898488740369675
648,0.788492703520246
649,0.788085052792526
650,0.7870471447779983
651,0.7866402414041481
652,0.7856042362062189
653,0.7851980788161003
654,0.7843225829582203
655,0.7837617923114052
656,0.7833581549883648
657,0.7829547255385457
658,0.7822383219646779
659,0.7819919168932591
660,0.7808071991391657
661,0.780561244871437
662,0.7793786945854567
663,0.7791331902966624
664,0.7782644567894816
665,0.778019303485593
666,0.7771518119622066
667,0.7769070091414385
668,0.7758853764244176
669,0.775640972530844
670,0.7749312610409782
671,0.7746871576937503
672,0.7739783189444606
673,0.7734249244464153
674,0.7725625556556576
676,0.7718556609172327
677,0.7713037841196768
678,0.7707523019140312
679,0.7700470635577799
680,0.7693424704946245
681,0.7687923906282208
682,0.768088945590796
683,0.7676933797838167
684,0.7668374016653577
685,0.7664424804035
686,0.7657411855339309
687,0.7653468288233809
688,0.7651057445723015
689,0.7642526516671034
690,0.7638590615514949
691,0.7631601305101753
692,0.7629197350690646
693,0.7620690795644627
694,0.7618290278043999
695,0.7612866055366031
696,0.7608968267945684
697,0.7602028888885317
698,0.7599657055871986
699,0.7594246100048204
700,0.758732014760496
701,0.7583435439689387
702,0.7579552720744266
703,0.7574156079207096
704,0.7567248448862859
705,0.7561860567967268
706,0.7553451779015689
707,0.7549584411704833
708,0.7544209107603699
709,0.7537328788897564
710,0.7530454745042089
711,0.7525093061263619
712,0.7516725157779494
713,0.7509869904435599
714,0.7501518929101867
715,0.7496177847624346
716,0.7489311348715921
717,0.7485446864059985
718,0.7478590194732505
719,0.7473235524153076
720,0.7469379334622613
721,0.7464031259019023
722,0.7458687012637565
723,0.7454838330139044
724,0.7446518730562609
725,0.7441187023151525
726,0.7435859133242948
727,0.7429047886276897
728,0.7423728687990323
729,0.7415443806774525
730,0.7410134349008874
731,0.7403346665945182
732,0.7396565200399176
733,0.738978994667561
734,0.7383020899084455
735,0.7374781447761076
736,0.7369471605118688
737,0.7361217796920955
738,0.7355917720107171
739,0.7349150275804672
740,0.7342389057550932
741,0.7335634059617985
742,0.7327418149471212
743,0.7322142408403592
744,0.731540603738786
745,0.731013894504094
746,0.7301951589422494
747,0.7293773403642341
748,0.7287063132110989
749,0.7281816446655869
750,0.7272204448946283
751,0.7265514020853252
752,0.7257376645149897
753,0.7252151333965389
754,0.724547935473814
755,0.7240262609602728
756,0.7235049620523814
2273,0.7220745927424038
2274,0.72180237062094
2275,0.7203753673342224
2276,0.7201037858207374
2277,0.7188241613933339
2278,0.7185531646844887
2279,0.7174200063437812
2280,0.7170060550001208
2281,0.7158753364513856
2282,0.7154622763822531
2283,0.7141908999171218
2284,0.7137788117678696
2285,0.7126531825817116
2286,0.7122419816953619
2287,0.7112612244865674
2288,0.7107085745151412
2289,0.7097299288080339
2290,0.70917846865335
2291,0.7082019299020144
2292,0.7077932973884609
2293,0.7068144192581726
2294,0.7062609835678935
2295,0.7052842246276191
2296,0.7048730439246612
2297,0.7040391791136983
2298,0.7034879164364523
2299,0.7025149926480206
2301,0.7012624084161292
2302,0.7009938249137058
2303,0.6998841516888674
2304,0.6996160960587706
2305,0.6985086037787096
2306,0.6981013732627066
2307,0.6969962787888317
2309,0.695892933679509
